Review Text,Review Stars,Restaurant Place,Creationdate
Good meal but a bit overpriced.,3,Birmingham City Centre,2022-07-31 02:53:37.218490
"Average experience, nothing to write home about.",3,London Canary Wharf,2022-07-31 02:53:37.218490
"Decent food, but the service was lacking.",2,Edinburgh Old Town,2022-07-31 02:53:37.218490
"Food was okay, but the place was quite dirty.",2,Cardiff Bay,2022-07-31 02:53:37.218490
"Decent food, but the service was lacking.",4,Sheffield Ecclesall Road,2022-07-31 02:53:37.218490
"Average experience, nothing to write home about.",4,Manchester Didsbury,2022-08-01 02:53:37.218490
"Average experience, nothing to write home about.",4,Leeds City Centre,2022-08-01 02:53:37.218490
Good meal but a bit overpriced.,4,London Chelsea,2022-08-01 02:53:37.218490
Good meal but a bit overpriced.,3,Birmingham Edgbaston,2022-08-01 02:53:37.218490
"Decent food, but the service was lacking.",2,London Camden,2022-08-02 02:53:37.218490
"Average experience, nothing to write home about.",4,Manchester Salford,2022-08-02 02:53:37.218490
"Decent food, but the service was lacking.",3,Edinburgh Old Town,2022-08-02 02:53:37.218490
Good meal but a bit overpriced.,3,London Chelsea,2022-08-02 02:53:37.218490
"Average experience, nothing to write home about.",2,Cardiff Bay,2022-08-03 02:53:37.218490
"Service was slow, but the food was decent.",4,Sheffield City Centre,2022-08-03 02:53:37.218490
"Food was okay, but the place was quite dirty.",4,Birmingham Solihull,2022-08-03 02:53:37.218490
"Average experience, nothing to write home about.",4,Birmingham City Centre,2022-08-03 02:53:37.218490
"Average experience, nothing to write home about.",3,Manchester Didsbury,2022-08-03 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,Bristol Clifton,2022-08-03 02:53:37.218490
"Average experience, nothing to write home about.",3,Leeds City Centre,2022-08-04 02:53:37.218490
"Decent food, but the service was lacking.",2,Manchester Salford,2022-08-04 02:53:37.218490
"Decent food, but the service was lacking.",2,Birmingham City Centre,2022-08-04 02:53:37.218490
"Decent food, but the service was lacking.",4,London Soho,2022-08-04 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,Manchester Didsbury,2022-08-04 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,Sheffield City Centre,2022-08-04 02:53:37.218490
Good meal but a bit overpriced.,2,Birmingham Solihull,2022-08-04 02:53:37.218490
"Service was slow, but the food was decent.",3,London Canary Wharf,2022-08-05 02:53:37.218490
"Service was slow, but the food was decent.",3,London Hackney,2022-08-05 02:53:37.218490
"Average experience, nothing to write home about.",3,Birmingham City Centre,2022-08-05 02:53:37.218490
"Food was okay, but the place was quite dirty.",4,Cardiff Bay,2022-08-05 02:53:37.218490
"Average experience, nothing to write home about.",3,London Camden,2022-08-05 02:53:37.218490
"Average experience, nothing to write home about.",4,Birmingham Edgbaston,2022-08-06 02:53:37.218490
"Food was okay, but the place was quite dirty.",4,London Canary Wharf,2022-08-06 02:53:37.218490
"Service was slow, but the food was decent.",3,London Chelsea,2022-08-06 02:53:37.218490
"Service was slow, but the food was decent.",3,London Hackney,2022-08-06 02:53:37.218490
"Food was okay, but the place was quite dirty.",4,Leeds City Centre,2022-08-07 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,Manchester Central,2022-08-07 02:53:37.218490
Good meal but a bit overpriced.,3,Leeds City Centre,2022-08-07 02:53:37.218490
Good meal but a bit overpriced.,3,Liverpool City Centre,2022-08-07 02:53:37.218490
"Decent food, but the service was lacking.",4,Birmingham Solihull,2022-08-07 02:53:37.218490
"Food was okay, but the place was quite dirty.",2,London Camden,2022-08-07 02:53:37.218490
"Service was slow, but the food was decent.",3,London Hackney,2022-08-07 02:53:37.218490
"Food was okay, but the place was quite dirty.",4,London Canary Wharf,2022-08-07 02:53:37.218490
"Service was slow, but the food was decent.",4,Leeds Headingley,2022-08-08 02:53:37.218490
Good meal but a bit overpriced.,3,Liverpool City Centre,2022-08-08 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,London Canary Wharf,2022-08-08 02:53:37.218490
Good meal but a bit overpriced.,3,Birmingham Edgbaston,2022-08-08 02:53:37.218490
Good meal but a bit overpriced.,4,Sheffield City Centre,2022-08-08 02:53:37.218490
"Service was slow, but the food was decent.",3,Liverpool City Centre,2022-08-08 02:53:37.218490
