Review Text,Review Stars,Location,DateTime
Delicious meals and very clean environment.,4,London Chelsea,2023-07-31 02:24:00.048415
Terrible service and cold food.,1,Manchester Salford,2023-07-31 02:24:00.048415
"Amazing experience, highly recommend.",4,London Canary Wharf,2023-07-31 02:24:00.048415
"It was alright, the service could be better.",3,Leeds City Centre,2023-07-31 02:24:00.048415
"Awful place, would not recommend.",1,London Canary Wharf,2023-07-31 02:24:00.048415
"Loved the burgers here, will definitely come back.",5,London Canary Wharf,2023-07-31 02:24:00.048415
Delicious meals and very clean environment.,4,Manchester Didsbury,2023-07-31 02:24:00.048415
"Great place for a quick bite, friendly staff.",4,Manchester Salford,2023-07-31 02:24:00.048415
Rude staff and long waiting times.,1,Bristol Clifton,2023-07-31 02:24:00.048415
"Great place for a quick bite, friendly staff.",4,Manchester Central,2023-07-31 02:24:00.048415
Delicious meals and very clean environment.,4,Manchester Central,2023-07-31 02:24:00.048415
Delicious meals and very clean environment.,5,London Chelsea,2023-07-31 02:24:00.048415
Rude staff and long waiting times.,1,Birmingham Solihull,2023-07-31 02:24:00.048415
"Awful place, would not recommend.",1,Manchester Central,2023-07-31 02:24:00.048415
Delicious meals and very clean environment.,5,Liverpool Anfield,2023-08-01 02:24:00.048415
"Loved the burgers here, will definitely come back.",4,Leeds City Centre,2023-08-01 02:24:00.048415
Delicious meals and very clean environment.,4,London Chelsea,2023-08-01 02:24:00.048415
Delicious meals and very clean environment.,4,Liverpool Anfield,2023-08-01 02:24:00.048415
"Loved the burgers here, will definitely come back.",5,London Camden,2023-08-01 02:24:00.048415
"Great place for a quick bite, friendly staff.",4,Birmingham Edgbaston,2023-08-01 02:24:00.048415
"Great place for a quick bite, friendly staff.",4,Glasgow City Centre,2023-08-01 02:24:00.048415
"Very disappointing experience, will not return.",2,London Canary Wharf,2023-08-01 02:24:00.048415
Fantastic food and great service!,5,London Hackney,2023-08-01 02:24:00.048415
"Average experience, not bad but not great.",3,London Canary Wharf,2023-08-01 02:24:00.048415
"Amazing experience, highly recommend.",4,Birmingham Edgbaston,2023-08-01 02:24:00.048415
"Amazing experience, highly recommend.",4,Liverpool Anfield,2023-08-01 02:24:00.048415
"Loved the burgers here, will definitely come back.",5,London Hackney,2023-08-02 02:24:00.048415
"It was alright, the service could be better.",3,Sheffield Ecclesall Road,2023-08-02 02:24:00.048415
Delicious meals and very clean environment.,5,London Chelsea,2023-08-02 02:24:00.048415
Terrible service and cold food.,2,Sheffield City Centre,2023-08-02 02:24:00.048415
